SDG using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=224, Epoch=27, minibatch=7, loss=0.05902, Wa=1.2610, Wb=1.2326
update=225, Epoch=28, minibatch=0, loss=0.06801, Wa=1.2611, Wb=1.2327
update=226, Epoch=28, minibatch=1, loss=0.05146, Wa=1.2613, Wb=1.2328
update=227, Epoch=28, minibatch=2, loss=0.05862, Wa=1.2612, Wb=1.2328
update=228, Epoch=28, minibatch=3, loss=0.04522, Wa=1.2618, Wb=1.2330
update=229, Epoch=28, minibatch=4, loss=0.04659, Wa=1.2619, Wb=1.2331
update=230, Epoch=28, minibatch=5, loss=0.05350, Wa=1.2617, Wb=1.2327
update=231, Epoch=28, minibatch=6, loss=0.06219, Wa=1.2603, Wb=1.2326
update=232, Epoch=28, minibatch=7, loss=0.06727, Wa=1.2602, Wb=1.2324
update=233, Epoch=29, minibatch=0, loss=0.05932, Wa=1.2610, Wb=1.2326
update=234, Epoch=29, minibatch=1, loss=0.05931, Wa=1.2611, Wb=1.2327
update=235, Epoch=29, minibatch=2, loss=0.04443, Wa=1.2604, Wb=1.2325
update=236, Epoch=29, minibatch=3, loss=0.05365, Wa=1.2603, Wb=1.2325
update=237, Epoch=29, minibatch=4, loss=0.06176, Wa=1.2605, Wb=1.2326
update=238, Epoch=29, minibatch=5, loss=0.05308, Wa=1.2606, Wb=1.2328
update=239, Epoch=29, minibatch=6, loss=0.05619, Wa=1.2606, Wb=1.2326
update=240, Epoch=29, minibatch=7, loss=0.06306, Wa=1.2608, Wb=1.2324
update=241, Epoch=30, minibatch=0, loss=0.04853, Wa=1.2614, Wb=1.2327
update=242, Epoch=30, minibatch=1, loss=0.05426, Wa=1.2613, Wb=1.2327
update=243, Epoch=30, minibatch=2, loss=0.05375, Wa=1.2613, Wb=1.2327
update=244, Epoch=30, minibatch=3, loss=0.06266, Wa=1.2612, Wb=1.2329
update=245, Epoch=30, minibatch=4, loss=0.05768, Wa=1.2622, Wb=1.2326
update=246, Epoch=30, minibatch=5, loss=0.05076, Wa=1.2623, Wb=1.2328
update=247, Epoch=30, minibatch=6, loss=0.06591, Wa=1.2618, Wb=1.2327
update=248, Epoch=30, minibatch=7, loss=0.05759, Wa=1.2614, Wb=1.2326
update=249, Epoch=31, minibatch=0, loss=0.06299, Wa=1.2609, Wb=1.2325
update=250, Epoch=31, minibatch=1, loss=0.05059, Wa=1.2612, Wb=1.2326
update=251, Epoch=31, minibatch=2, loss=0.04399, Wa=1.2614, Wb=1.2328
update=252, Epoch=31, minibatch=3, loss=0.06344, Wa=1.2610, Wb=1.2325
