RMSprop using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.002
Epoch=21, minibatch=7 loss=42.26741, Wa=0.3235, Wb=1.5007
Epoch=22, minibatch=0 loss=42.00631, Wa=0.3249, Wb=1.4987
Epoch=22, minibatch=1 loss=46.61742, Wa=0.3260, Wb=1.4987
Epoch=22, minibatch=2 loss=40.27316, Wa=0.3286, Wb=1.4983
Epoch=22, minibatch=3 loss=40.62463, Wa=0.3289, Wb=1.4944
Epoch=22, minibatch=4 loss=39.70783, Wa=0.3309, Wb=1.4938
Epoch=22, minibatch=5 loss=41.06153, Wa=0.3314, Wb=1.4928
Epoch=22, minibatch=6 loss=42.94773, Wa=0.3327, Wb=1.4915
Epoch=22, minibatch=7 loss=40.03663, Wa=0.3335, Wb=1.4895
Epoch=23, minibatch=0 loss=43.19936, Wa=0.3358, Wb=1.4883
Epoch=23, minibatch=1 loss=36.98354, Wa=0.3360, Wb=1.4855
Epoch=23, minibatch=2 loss=35.65742, Wa=0.3375, Wb=1.4862
Epoch=23, minibatch=3 loss=44.73917, Wa=0.3393, Wb=1.4849
Epoch=23, minibatch=4 loss=37.85873, Wa=0.3425, Wb=1.4865
Epoch=23, minibatch=5 loss=42.34300, Wa=0.3429, Wb=1.4852
Epoch=23, minibatch=6 loss=42.47066, Wa=0.3449, Wb=1.4838
Epoch=23, minibatch=7 loss=44.19705, Wa=0.3463, Wb=1.4810
Epoch=24, minibatch=0 loss=40.20182, Wa=0.3469, Wb=1.4785
Epoch=24, minibatch=1 loss=41.38487, Wa=0.3478, Wb=1.4769
Epoch=24, minibatch=2 loss=34.54837, Wa=0.3509, Wb=1.4781
Epoch=24, minibatch=3 loss=37.23212, Wa=0.3524, Wb=1.4758
Epoch=24, minibatch=4 loss=39.41431, Wa=0.3534, Wb=1.4751
Epoch=24, minibatch=5 loss=42.81739, Wa=0.3562, Wb=1.4757
Epoch=24, minibatch=6 loss=39.28529, Wa=0.3567, Wb=1.4741
Epoch=24, minibatch=7 loss=44.96447, Wa=0.3609, Wb=1.4709
Epoch=25, minibatch=0 loss=38.30023, Wa=0.3616, Wb=1.4701
Epoch=25, minibatch=1 loss=41.31794, Wa=0.3629, Wb=1.4679
Epoch=25, minibatch=2 loss=32.72063, Wa=0.3648, Wb=1.4694
Epoch=25, minibatch=3 loss=39.93064, Wa=0.3655, Wb=1.4683
Epoch=25, minibatch=4 loss=43.36866, Wa=0.3670, Wb=1.4697
Epoch=25, minibatch=5 loss=36.12306, Wa=0.3684, Wb=1.4686
Epoch=25, minibatch=6 loss=38.70876, Wa=0.3693, Wb=1.4655
Epoch=25, minibatch=7 loss=42.24145, Wa=0.3737, Wb=1.4647
Epoch=26, minibatch=0 loss=38.52259, Wa=0.3747, Wb=1.4625
Epoch=26, minibatch=1 loss=36.57264, Wa=0.3771, Wb=1.4631
Epoch=26, minibatch=2 loss=36.59297, Wa=0.3773, Wb=1.4592
Epoch=26, minibatch=3 loss=39.17843, Wa=0.3776, Wb=1.4596
Epoch=26, minibatch=4 loss=41.24196, Wa=0.3799, Wb=1.4592
Epoch=26, minibatch=5 loss=37.22649, Wa=0.3815, Wb=1.4588
Epoch=26, minibatch=6 loss=34.50981, Wa=0.3847, Wb=1.4592
Epoch=26, minibatch=7 loss=41.62479, Wa=0.3858, Wb=1.4578
Epoch=27, minibatch=0 loss=42.06827, Wa=0.3881, Wb=1.4567
Epoch=27, minibatch=1 loss=34.47857, Wa=0.3897, Wb=1.4568
Epoch=27, minibatch=2 loss=37.22768, Wa=0.3898, Wb=1.4527
Epoch=27, minibatch=3 loss=42.98558, Wa=0.3925, Wb=1.4523
Epoch=27, minibatch=4 loss=36.03578, Wa=0.3931, Wb=1.4523
Epoch=27, minibatch=5 loss=29.69494, Wa=0.3954, Wb=1.4523
Epoch=27, minibatch=6 loss=40.16261, Wa=0.3978, Wb=1.4504
Epoch=27, minibatch=7 loss=35.43529, Wa=0.4029, Wb=1.4511
Epoch=28, minibatch=0 loss=35.72199, Wa=0.4036, Wb=1.4520
Epoch=28, minibatch=1 loss=32.57086, Wa=0.4060, Wb=1.4494
Epoch=28, minibatch=2 loss=32.21158, Wa=0.4071, Wb=1.4468
Epoch=28, minibatch=3 loss=41.52589, Wa=0.4073, Wb=1.4446
Epoch=28, minibatch=4 loss=40.41431, Wa=0.4075, Wb=1.4423
Epoch=28, minibatch=5 loss=35.92186, Wa=0.4090, Wb=1.4450
Epoch=28, minibatch=6 loss=38.37394, Wa=0.4103, Wb=1.4479
Epoch=28, minibatch=7 loss=34.65369, Wa=0.4126, Wb=1.4481
Epoch=29, minibatch=0 loss=36.23916, Wa=0.4129, Wb=1.4465
Epoch=29, minibatch=1 loss=34.54627, Wa=0.4149, Wb=1.4461
Epoch=29, minibatch=2 loss=35.03732, Wa=0.4170, Wb=1.4438
Epoch=29, minibatch=3 loss=33.14303, Wa=0.4176, Wb=1.4441
Epoch=29, minibatch=4 loss=44.29999, Wa=0.4218, Wb=1.4403
Epoch=29, minibatch=5 loss=36.36777, Wa=0.4226, Wb=1.4425
Epoch=29, minibatch=6 loss=32.16354, Wa=0.4231, Wb=1.4444
Epoch=29, minibatch=7 loss=33.41932, Wa=0.4256, Wb=1.4424
Epoch=30, minibatch=0 loss=31.66201, Wa=0.4271, Wb=1.4426
Epoch=30, minibatch=1 loss=35.61147, Wa=0.4282, Wb=1.4406
Epoch=30, minibatch=2 loss=32.76530, Wa=0.4289, Wb=1.4388
Epoch=30, minibatch=3 loss=37.01056, Wa=0.4305, Wb=1.4397
Epoch=30, minibatch=4 loss=37.91709, Wa=0.4325, Wb=1.4411
Epoch=30, minibatch=5 loss=30.78165, Wa=0.4339, Wb=1.4402
Epoch=30, minibatch=6 loss=40.61475, Wa=0.4351, Wb=1.4445
Epoch=30, minibatch=7 loss=32.99874, Wa=0.4357, Wb=1.4425
Epoch=31, minibatch=0 loss=39.13288, Wa=0.4359, Wb=1.4394
Epoch=31, minibatch=1 loss=33.26266, Wa=0.4361, Wb=1.4371
Epoch=31, minibatch=2 loss=35.35264, Wa=0.4364, Wb=1.4345
Epoch=31, minibatch=3 loss=35.39668, Wa=0.4381, Wb=1.4349
Epoch=31, minibatch=4 loss=30.50395, Wa=0.4420, Wb=1.4366
Epoch=31, minibatch=5 loss=33.38172, Wa=0.4427, Wb=1.4360
Epoch=31, minibatch=6 loss=32.28764, Wa=0.4448, Wb=1.4355
Epoch=31, minibatch=7 loss=34.64642, Wa=0.4477, Wb=1.4360
Epoch=32, minibatch=0 loss=32.72767, Wa=0.4481, Wb=1.4383
Epoch=32, minibatch=1 loss=37.95666, Wa=0.4488, Wb=1.4375
Epoch=32, minibatch=2 loss=36.52713, Wa=0.4499, Wb=1.4385
Epoch=32, minibatch=3 loss=28.79119, Wa=0.4503, Wb=1.4369
Epoch=32, minibatch=4 loss=35.96525, Wa=0.4527, Wb=1.4379
Epoch=32, minibatch=5 loss=37.39199, Wa=0.4541, Wb=1.4399
Epoch=32, minibatch=6 loss=30.54943, Wa=0.4585, Wb=1.4412
Epoch=32, minibatch=7 loss=27.62490, Wa=0.4603, Wb=1.4383
Epoch=33, minibatch=0 loss=29.99530, Wa=0.4613, Wb=1.4355
Epoch=33, minibatch=1 loss=33.31049, Wa=0.4619, Wb=1.4322
Epoch=33, minibatch=2 loss=34.97448, Wa=0.4634, Wb=1.4298
Epoch=33, minibatch=3 loss=36.26363, Wa=0.4667, Wb=1.4328
Epoch=33, minibatch=4 loss=32.52709, Wa=0.4678, Wb=1.4326
Epoch=33, minibatch=5 loss=29.16158, Wa=0.4686, Wb=1.4342
Epoch=33, minibatch=6 loss=29.86178, Wa=0.4692, Wb=1.4331
Epoch=33, minibatch=7 loss=35.55932, Wa=0.4704, Wb=1.4315
Epoch=34, minibatch=0 loss=26.57209, Wa=0.4714, Wb=1.4329
Epoch=34, minibatch=1 loss=32.92908, Wa=0.4733, Wb=1.4332
Epoch=34, minibatch=2 loss=35.59746, Wa=0.4750, Wb=1.4306
Epoch=34, minibatch=3 loss=33.72461, Wa=0.4755, Wb=1.4286
Epoch=34, minibatch=4 loss=34.06466, Wa=0.4778, Wb=1.4278
Epoch=34, minibatch=5 loss=24.41336, Wa=0.4794, Wb=1.4273
Epoch=34, minibatch=6 loss=31.92498, Wa=0.4799, Wb=1.4285
Epoch=34, minibatch=7 loss=37.08670, Wa=0.4817, Wb=1.4318
Epoch=35, minibatch=0 loss=29.21410, Wa=0.4826, Wb=1.4313
Epoch=35, minibatch=1 loss=32.68482, Wa=0.4839, Wb=1.4300
Epoch=35, minibatch=2 loss=27.25193, Wa=0.4852, Wb=1.4332
Epoch=35, minibatch=3 loss=35.50483, Wa=0.4864, Wb=1.4327
Epoch=35, minibatch=4 loss=26.17775, Wa=0.4878, Wb=1.4307
Epoch=35, minibatch=5 loss=33.49688, Wa=0.4890, Wb=1.4276
Epoch=35, minibatch=6 loss=33.22989, Wa=0.4918, Wb=1.4295
Epoch=35, minibatch=7 loss=31.70867, Wa=0.4968, Wb=1.4282
Epoch=36, minibatch=0 loss=25.73783, Wa=0.4985, Wb=1.4299
Epoch=36, minibatch=1 loss=27.73227, Wa=0.4990, Wb=1.4268
Epoch=36, minibatch=2 loss=30.80001, Wa=0.5001, Wb=1.4270
Epoch=36, minibatch=3 loss=29.89843, Wa=0.5021, Wb=1.4278
Epoch=36, minibatch=4 loss=27.38145, Wa=0.5030, Wb=1.4263
Epoch=36, minibatch=5 loss=28.68883, Wa=0.5048, Wb=1.4290
Epoch=36, minibatch=6 loss=33.38809, Wa=0.5052, Wb=1.4263
Epoch=36, minibatch=7 loss=38.71096, Wa=0.5082, Wb=1.4278
Epoch=37, minibatch=0 loss=24.77232, Wa=0.5099, Wb=1.4289
Epoch=37, minibatch=1 loss=28.33699, Wa=0.5117, Wb=1.4286
Epoch=37, minibatch=2 loss=31.17611, Wa=0.5158, Wb=1.4301
Epoch=37, minibatch=3 loss=32.32026, Wa=0.5168, Wb=1.4301
Epoch=37, minibatch=4 loss=31.36883, Wa=0.5178, Wb=1.4293
Epoch=37, minibatch=5 loss=29.79737, Wa=0.5185, Wb=1.4291
Epoch=37, minibatch=6 loss=26.68297, Wa=0.5195, Wb=1.4296
Epoch=37, minibatch=7 loss=31.88297, Wa=0.5202, Wb=1.4258
Epoch=38, minibatch=0 loss=29.78741, Wa=0.5224, Wb=1.4255
Epoch=38, minibatch=1 loss=28.60059, Wa=0.5238, Wb=1.4269
Epoch=38, minibatch=2 loss=25.76647, Wa=0.5248, Wb=1.4269
Epoch=38, minibatch=3 loss=30.87754, Wa=0.5269, Wb=1.4248
Epoch=38, minibatch=4 loss=27.12188, Wa=0.5314, Wb=1.4273
Epoch=38, minibatch=5 loss=27.29958, Wa=0.5323, Wb=1.4230
Epoch=38, minibatch=6 loss=30.28698, Wa=0.5332, Wb=1.4226
Epoch=38, minibatch=7 loss=30.54063, Wa=0.5343, Wb=1.4231
Epoch=39, minibatch=0 loss=30.64098, Wa=0.5348, Wb=1.4237
Epoch=39, minibatch=1 loss=23.92992, Wa=0.5349, Wb=1.4204
Epoch=39, minibatch=2 loss=28.06752, Wa=0.5365, Wb=1.4195
Epoch=39, minibatch=3 loss=25.43055, Wa=0.5392, Wb=1.4241
Epoch=39, minibatch=4 loss=24.67689, Wa=0.5411, Wb=1.4221
Epoch=39, minibatch=5 loss=32.78880, Wa=0.5418, Wb=1.4211
Epoch=39, minibatch=6 loss=32.77982, Wa=0.5459, Wb=1.4214
Epoch=39, minibatch=7 loss=25.79762, Wa=0.5501, Wb=1.4220
Epoch=40, minibatch=0 loss=30.89858, Wa=0.5512, Wb=1.4215
Epoch=40, minibatch=1 loss=24.46158, Wa=0.5539, Wb=1.4239
Epoch=40, minibatch=2 loss=29.38170, Wa=0.5546, Wb=1.4235
Epoch=40, minibatch=3 loss=26.36769, Wa=0.5560, Wb=1.4209
Epoch=40, minibatch=4 loss=24.14696, Wa=0.5566, Wb=1.4194
Epoch=40, minibatch=5 loss=27.36069, Wa=0.5571, Wb=1.4185
Epoch=40, minibatch=6 loss=27.45805, Wa=0.5586, Wb=1.4185
Epoch=40, minibatch=7 loss=26.91963, Wa=0.5590, Wb=1.4162
Epoch=41, minibatch=0 loss=28.96899, Wa=0.5609, Wb=1.4194
Epoch=41, minibatch=1 loss=25.49016, Wa=0.5616, Wb=1.4171
Epoch=41, minibatch=2 loss=21.11036, Wa=0.5629, Wb=1.4180
Epoch=41, minibatch=3 loss=24.04934, Wa=0.5641, Wb=1.4183
Epoch=41, minibatch=4 loss=31.84335, Wa=0.5648, Wb=1.4168
Epoch=41, minibatch=5 loss=28.03294, Wa=0.5668, Wb=1.4168
Epoch=41, minibatch=6 loss=29.37831, Wa=0.5670, Wb=1.4154
Epoch=41, minibatch=7 loss=23.74621, Wa=0.5690, Wb=1.4185
Epoch=42, minibatch=0 loss=29.83671, Wa=0.5702, Wb=1.4180
Epoch=42, minibatch=1 loss=24.58753, Wa=0.5710, Wb=1.4177
Epoch=42, minibatch=2 loss=30.23132, Wa=0.5724, Wb=1.4170
Epoch=42, minibatch=3 loss=23.95074, Wa=0.5733, Wb=1.4189
Epoch=42, minibatch=4 loss=30.39819, Wa=0.5744, Wb=1.4187
Epoch=42, minibatch=5 loss=26.75670, Wa=0.5764, Wb=1.4184
Epoch=42, minibatch=6 loss=18.46549, Wa=0.5790, Wb=1.4167
Epoch=42, minibatch=7 loss=23.54913, Wa=0.5799, Wb=1.4146
