SDG_w_Momentum using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=5e-05
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=264, Epoch=32, minibatch=7, loss=0.06555, Wa=1.2609, Wb=1.2324
update=265, Epoch=33, minibatch=0, loss=0.06785, Wa=1.2609, Wb=1.2324
update=266, Epoch=33, minibatch=1, loss=0.05856, Wa=1.2609, Wb=1.2324
update=267, Epoch=33, minibatch=2, loss=0.06070, Wa=1.2608, Wb=1.2324
update=268, Epoch=33, minibatch=3, loss=0.04633, Wa=1.2608, Wb=1.2324
update=269, Epoch=33, minibatch=4, loss=0.04957, Wa=1.2608, Wb=1.2323
update=270, Epoch=33, minibatch=5, loss=0.04961, Wa=1.2607, Wb=1.2323
update=271, Epoch=33, minibatch=6, loss=0.06003, Wa=1.2607, Wb=1.2323
update=272, Epoch=33, minibatch=7, loss=0.05786, Wa=1.2608, Wb=1.2323
update=273, Epoch=34, minibatch=0, loss=0.04935, Wa=1.2608, Wb=1.2323
update=274, Epoch=34, minibatch=1, loss=0.05990, Wa=1.2609, Wb=1.2323
update=275, Epoch=34, minibatch=2, loss=0.06709, Wa=1.2610, Wb=1.2323
update=276, Epoch=34, minibatch=3, loss=0.05977, Wa=1.2610, Wb=1.2323
update=277, Epoch=34, minibatch=4, loss=0.05127, Wa=1.2611, Wb=1.2323
update=278, Epoch=34, minibatch=5, loss=0.04632, Wa=1.2612, Wb=1.2323
update=279, Epoch=34, minibatch=6, loss=0.05745, Wa=1.2612, Wb=1.2324
update=280, Epoch=34, minibatch=7, loss=0.05875, Wa=1.2612, Wb=1.2324
update=281, Epoch=35, minibatch=0, loss=0.04944, Wa=1.2613, Wb=1.2324
update=282, Epoch=35, minibatch=1, loss=0.06132, Wa=1.2613, Wb=1.2324
update=283, Epoch=35, minibatch=2, loss=0.05960, Wa=1.2613, Wb=1.2324
update=284, Epoch=35, minibatch=3, loss=0.06288, Wa=1.2614, Wb=1.2324
update=285, Epoch=35, minibatch=4, loss=0.05849, Wa=1.2614, Wb=1.2324
update=286, Epoch=35, minibatch=5, loss=0.06427, Wa=1.2615, Wb=1.2323
update=287, Epoch=35, minibatch=6, loss=0.04601, Wa=1.2615, Wb=1.2323
update=288, Epoch=35, minibatch=7, loss=0.04807, Wa=1.2615, Wb=1.2323
update=289, Epoch=36, minibatch=0, loss=0.05961, Wa=1.2615, Wb=1.2324
update=290, Epoch=36, minibatch=1, loss=0.06412, Wa=1.2615, Wb=1.2324
update=291, Epoch=36, minibatch=2, loss=0.04873, Wa=1.2615, Wb=1.2324
update=292, Epoch=36, minibatch=3, loss=0.06341, Wa=1.2614, Wb=1.2324
